Array Design Name	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Comment[AdditionalFile:CDF]	Yeast_2.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-47
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	The MGED Ontology
Term Source Name	The MGED Ontology	affymetrix_netaffx	cp450	ec	embl	genbank	go	interpro	pkr_hanks	scop	sgd
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://godatabase.org	http://www.ebi.ac.uk/interpro	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/
Term Source Version										
Comment[AdditionalFile:txt]	A-AFFY-47_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[interpro]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[go]	Composite Element Database Entry[genbank]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
1775354_at	YGL220W.S1	IPR002634	1775354_at			GO:0005737	XP_386494	S0003188		
1778795_at	YGL219C.S1		1778795_at			GO:0005737	NP_595696	S0003187		
1775012_at	YGL216W.S1	IPR001752	1775012_at			GO:0005871	EAK97599	S0003184		
1773050_at	YGL215W.S1		1773050_at				NP_011300			
1775664_at	YGL213C.S1	IPR001680	1775664_at				EAK99093			
1773233_at	YGL212W.S1	IPR000727	1773233_at			GO:0005485	EAK93109	S0003180		
1770020_at	YGL211W.S1	IPR000541	1770020_at			GO:0005739	EAL03969	S0003179		
1778716_at	YGL210W.S1	IPR001806	1778716_at			GO:0003924	NP_010948	S0003178		
1776471_at	YGL209W.S1	IPR007087	1776471_at			GO:0003704	S70704	S0003177		
1776136_at	YGL208W.S1	IPR006828	1776136_at			GO:0030447	S72516	S0003176		
1774676_at	YGL207W.S1		1774676_at			GO:0008023	NP_011308	S0003175		
1774993_at	YGL206C.S1	IPR000547	1774993_at			GO:0016192	NP_011309	S0003174		
1776791_at	YGL205W.S1	IPR002655	1776791_at	a.3.1.monodomain cytochrome c		GO:0005782	EAL02814	S0003173		
1774651_at	YGL203C.S1	IPR001563	1774651_at			GO:0005802	EAL01467	S0003171		
1775974_at	YGL202W.S1		1775974_at		(P23599) 1-aminocyclopropane-1-carboxylate synthase CMW33 (EC 4.4.1.14) (ACC synthase) (S-adenosyl-L-methionine methylthioadenosine-lyase)	GO:0005737	EAL00664	S0003170		
1776707_at	YGL201C.S1	IPR001208	1776707_at			GO:0005737	P53091	S0003169		
1777543_at	YGL200C.S1	IPR000348	1777543_at			GO:0005783	EAK91893	S0003168		
1772887_at	YGL198W.S1	IPR006977	1772887_at			GO:0016020	NP_985714	S0003166		
1773582_at	YGL197W.S1	IPR006652	1773582_at			GO:0030435	NP_985715	S0003165		
1769792_at	YGL196W.S1	IPR001608	1769792_at				NP_594997	S0003164		
1769954_at	YGL195W.S1		1769954_at	a.4.5.Biotin repressor-like		GO:0005830	NP_985716	S0003163		
1777548_at	YGL194C.S1	IPR000286	1777548_at			GO:0006355	EAK98698	S0003162		
1779702_at	YGL192W.S1	IPR007757	1779702_at			GO:0008174	EAL03632	S0003160		
1776150_at	YGL191W.S1	IPR001349	1776150_at			GO:0005751	EAL03623	S0003159		
1771714_at	YGL190C.S1	IPR001680	1771714_at			GO:0005935	P53031	S0003158		
1771492_at	YGL189C.S1	IPR000892	1771492_at			GO:0005843	NP_985741	S0003157		
1770502_x_at	YGL189C.S1	IPR000892	1770502_x_at			GO:0005843	EAL03626	S0003157		
1776006_at	YGL188C-A.S1		1776006_at				NP_878073	S0028635		
1774369_at	YGL187C.S1	IPR002124	1774369_at			GO:0004129	EAL03627	S0003155		
1772701_at	YGL186C.S1		1772701_at			GO:0005886	CAC10063	S0003154		
1771997_at	YGL185C.S1	IPR006140	1771997_at			GO:0005737	EAL03629	S0003153		
1777388_at	YGL184C.S1	IPR000277	1777388_at			GO:0005777	XP_382108	S0003152		
1778197_at	YGL183C.S1	IPR005647	1778197_at	a.1.1.Globins		GO:0005515	NP_983348	S0003151		
1777352_at	YGL181W.S1	IPR000449	1777352_at			GO:0005737	EAK97147	S0003149		
1776041_at	YGL180W.S1	IPR000719	1776041_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005829	NP_983350	S0003148	2.1.8	
1769837_at	YGL179C.S1	IPR000719	1769837_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005737	NP_983351	S0003147	1.8.7	
1771031_at	YGL178W.S1	IPR001313	1771031_at			GO:0005737	EAL03428	S0003146		
1776926_at	YGL176C.S1		1776926_at				NP_011339	S0003144		
1771988_at	YGL175C.S1		1771988_at			GO:0005737	NP_984048	S0003143		
1778401_at	YGL174W.S1		1778401_at			GO:0000282	NP_588468	S0003142		
1774600_at	YGL173C.S1	IPR004859	1774600_at			GO:0000932	NP_011342	S0003141		
1771602_at	YGL172W.S1		1771602_at			GO:0005643	EAL03424	S0003140		
1771440_at	YGL171W.S1	IPR001650	1771440_at			GO:0016887	AAD26468	S0003139		
1778649_at	YGL170C.S1		1778649_at			GO:0005198	NP_011345	S0003138		
1770680_at	YGL169W.S1	IPR005145	1770680_at			GO:0005737	EAL01535	S0003137		
1771508_at	YGL168W.S1		1771508_at			GO:0006260	NP_011347	S0003136		
1779497_at	YGL167C.S1	IPR006068	1779497_at		(P05023) Sodium/potassium-transporting ATPase alpha-1 chain precursor (EC 3.6.3.9) (Sodium pump 1) (Na+/K+ ATPase 1)	GO:0005794	NP_011348	S0003135		
1778510_at	YGL166W.S1	IPR001083	1778510_at			GO:0003706	NP_984565	S0003134		
1773219_at	YGL164C.S1	IPR008812	1773219_at			GO:0005634	EAL03440	S0003132		
1773281_at	YGL163C.S1	IPR001650	1773281_at			GO:0005634	NP_011352	S0003131		
1773168_at	YGL162W.S1		1773168_at			GO:0003704	NP_984562	S0003130		
1780151_at	YGL161C.S1		1780151_at			GO:0016020	EAA59488	S0003129		
1772298_at	YGL160W.S1	IPR002916	1772298_at			GO:0016020	EAL02171	S0003128		
1776694_at	YGL159W.S1		1776694_at				NP_011356	S0003127		
1776044_at	YGL158W.S1	IPR000719	1776044_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0004674	NP_982513	S0003126	2.1.8	
1777697_at	YGL157W.S1		1777697_at			GO:0005737	NP_014490	S0003125		
1771498_at	YGL156W.S1	IPR000602	1771498_at			GO:0005774	NP_011359	S0003124		
1779058_at	YGL155W.S1	IPR001330	1779058_at			GO:0004661	AAD32539	S0003123		
1779032_at	YGL154C.S1	IPR008278	1779032_at			GO:0008897	NP_987048	S0003122		
1770758_at	YGL153W.S1	IPR006785	1770758_at			GO:0006625	EAK90926	S0003121		
1779462_at	YGL151W.S1		1779462_at	a.4.5.MarR-like transcriptional regulators		GO:0006357	NP_987046	S0003119		
1775828_at	YGL150C.S1	IPR001650	1775828_at			GO:0031011	NP_011365	S0003118		
1779604_at	YGL148W.S1	IPR000453	1779604_at			GO:0042602	EAK90945	S0003116		
1776927_at	YGL147C.S1		1776927_at							
1775996_at	YGL146C.S1		1775996_at			GO:0016020	NP_011369	S0003114		
1778574_at	YGL145W.S1	IPR007528	1778574_at			GO:0005783	NP_983810	S0003113		
1780147_at	YGL144C.S1	IPR007751	1780147_at			GO:0016298	NP_010174	S0003112		
1770466_at	YGL143C.S1	IPR000352	1770466_at			GO:0006415	NP_983812	S0003111		
1779014_at	YGL142C.S1	IPR005599	1779014_at			GO:0016021	EAL03126	S0003110		
1774207_at	YGL141W.S1	IPR000569	1774207_at			GO:0005634	XP_388598	S0003109		
1775956_at	YGL140C.S1		1775956_at	a.1.1.Globins			XP_385268	S0003108		
1777440_at	YGL139W.S1	IPR010308	1777440_at			GO:0005739	NP_011376	S0003107		
1769531_at	YGL138C.S1		1769531_at				NP_011377	S0003106		
1779632_at	YGL137W.S1	IPR006692	1779632_at			GO:0030126	NP_011378	S0003105		
1772233_at	YGL136C.S1	IPR002877	1772233_at			GO:0008650	EAA50743	S0003104		
1779233_s_at	YGL135W.S1	IPR002143	1779233_s_at			GO:0005842	XP_322380	S0006141		
1774478_at	YGL134W.S1		1774478_at			GO:0000307	NP_985435	S0003102		
1774971_at	YGL133W.S1	IPR004022	1774971_at			GO:0008623	NP_015108	S0003101		
1772819_at	YGL131C.S1	IPR001965	1772819_at			GO:0005737	EAK97517	S0003099		
1779141_at	YGL130W.S1	IPR001339	1779141_at			GO:0005634	P78587	S0003098		
1774079_at	YGL129C.S1		1774079_at			GO:0006412	EAK93338	S0003097		
1772190_at	YGL128C.S1	IPR001623	1772190_at	a.2.3.Chaperone J-domain		GO:0005681	NP_986207	S0003096		
1777443_at	YGL127C.S1	IPR008831	1777443_at			GO:0005634	EAK92310	S0003095		
1774987_at	YGL126W.S1		1774987_at			GO:0006644	NP_982708	S0003094		
1778144_at	YGL125W.S1	IPR003171	1778144_at			GO:0005739	NP_011390	S0003093		
1773059_at	YGL124C.S1	IPR004353	1773059_at			GO:0005829	NP_982718	S0003092		
1777263_at	YGL123W.S1	IPR005324	1777263_at			GO:0005843	EAK99225	S0003091		
1771199_at	YGL122C.S1		1771199_at			GO:0005634	NP_982721	S0003090		
1769579_at	YGL121C.S1		1769579_at			GO:0004871	NP_011394	S0003089		
1775352_at	YGL120C.S1	IPR007502	1775352_at			GO:0005739	NP_011395	S0003088		
1771772_at	YGL119W.S1	IPR004147	1771772_at			GO:0005739	EAK99498	S0003087		
1777793_at	YGL117W.S1		1777793_at				NP_011398	S0003085		
1775262_at	YGL116W.S1	IPR001680	1775262_at			GO:0008054	EAK94959	S0003084		
1776708_at	YGL115W.S1	IPR000644	1776708_at			GO:0005886	Q9P869	S0003083		
1769774_at	YGL114W.S1	IPR004813	1769774_at			GO:0016020	NP_011401	S0003082		
1776043_at	YGL113W.S1		1776043_at			GO:0006270	NP_985529	S0003081		
1774100_at	YGL112C.S1	IPR004823	1774100_at	a.4.1.Homeodomain		GO:0046695	NP_985528	S0003080		
1771159_at	YGL111W.S1		1771159_at			GO:0005730	EAK96958	S0003079		
1771981_at	YGL110C.S1	IPR003892	1771981_at			GO:0005737	EAK96969	S0003078		
1770590_at	YGL108C.S1		1770590_at				NP_011407	S0003076		
1769608_at	YGL107C.S1		1769608_at			GO:0005739	NP_985519	S0003075		
1777896_at	YGL106W.S1	IPR002048	1777896_at			GO:0030478	EAK81612	S0003074		
1778947_at	YGL105W.S1	IPR002547	1778947_at			GO:0017102	EAK94138	S0003073		
1769804_at	YGL104C.S1	IPR005828	1769804_at			GO:0005739	AAN65374	S0003072		
1777134_at	YGL103W.S1	IPR001196	1777134_at			GO:0005842	XP_388032	S0003071		
1772505_at	YGL101W.S1	IPR006674	1772505_at			GO:0005737	NP_009801	S0003069		
1774765_at	YGL100W.S1	IPR001680	1774765_at			GO:0005643	EAK96959	S0003068		
1778190_at	YGL099W.S1	IPR002917	1778190_at			GO:0000054	NP_011416	S0003067		
1776954_at	YGL098W.S1		1776954_at			GO:0005783	NP_985505	S0003066		
1778322_at	YGL097W.S1	IPR000408	1778322_at			GO:0004871	NP_985503	S0003065		
1771222_at	YGL096W.S1	IPR001356	1771222_at	a.4.1.Homeodomain		GO:0003700	NP_985499	S0003064		
1770478_at	YGL095C.S1	IPR001619	1770478_at			GO:0005829	XP_326047	S0003063		
1770802_at	YGL094C.S1	IPR006055	1770802_at			GO:0005737	EAL04557	S0003062		
1776529_at	YGL093W.S1		1776529_at			GO:0005200	EAK91165	S0003061		
1771862_at	YGL092W.S1	IPR007230	1771862_at			GO:0005643	NP_011423	S0003060		
1771167_at	YGL091C.S1		1771167_at			GO:0016887	NP_985488	S0003059		
1772076_at	YGL090W.S1		1772076_at			GO:0006303	AAO25608	S0003058		
1770381_at	YGL089C.S1	IPR006742	1770381_at			GO:0005186	CAD56326	S0003057		
1777442_at	YGL087C.S1	IPR000608	1777442_at			GO:0005634	NP_985484	S0003055		
1778879_at	YGL086W.S1	IPR008672	1778879_at			GO:0005643	NP_985483	S0003054		
1771870_at	YGL085W.S1	IPR006021	1771870_at	a.4.1.Homeodomain		GO:0005739	NP_985482	S0003053		
1770035_at	YGL084C.S1	IPR004299	1770035_at			GO:0016020	NP_011431	S0003052		
1769555_at	YGL083W.S1	IPR000719	1769555_at	a.2.1.GreA transcript cleavage protein, N-terminal domain	(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0030136	NP_011432	S0003051	1.9.4	
1773586_at	YGL082W.S1	IPR007518	1773586_at			GO:0005737	NP_985477	S0003050		
1777972_at	YGL081W.S1	IPR000253	1777972_at				NP_985476	S0003049		
1779832_at	YGL080W.S1	IPR005336	1779832_at			GO:0005739	EAL01091	S0003048		
1776835_at	YGL079W.S1		1776835_at			GO:0005768	NP_985471	S0003047		
1774903_at	YGL078C.S1	IPR001650	1774903_at			GO:0000027	EAL04858	S0003046		
1775430_at	YGL077C.S1		1775430_at			GO:0005886	EAL00638	S0003045		
1778133_s_at	YGL076C.S1	IPR000517	1778133_s_at			GO:0003735	XP_328535	S0006119		
1777299_at	YGL075C.S1		1777299_at			GO:0005200	NP_011440	S0003043		
1773393_at	YGL073W.S1	IPR000232	1773393_at			GO:0005634	P22121	S0003041		
1774570_at	YGL071W.S1		1774570_at				NP_985461			
1771173_at	YGL070C.S1	IPR001529	1771173_at			GO:0003899	NP_594705	S0003038		
1771076_at	YGL068W.S1	IPR000206	1771076_at			GO:0005739	NP_985459	S0003036		
1776299_at	YGL067W.S1	IPR000086	1776299_at			GO:0005737	EAA58848	S0003035		
1771902_at	YGL066W.S1		1771902_at			GO:0000124	EAK93362	S0003034		
1772470_at	YGL065C.S1	IPR001296	1772470_at			GO:0006490	EAK91318	S0003033		
1776934_at	YGL064C.S1	IPR001410	1776934_at			GO:0003724	EAK93339	S0003032		
1771884_at	YGL063W.S1	IPR001406	1771884_at			GO:0006400	NP_985445	S0003031		
1771915_at	YGL062W.S1	IPR000089	1771915_at	a.3.1.monodomain cytochrome c		GO:0005829	CAA42544	S0003030		
1774231_at	YGL061C.S1		1774231_at			GO:0042729	NP_982704	S0003029		
1777043_at	YGL060W.S1		1777043_at			GO:0005737	NP_982702	S0003028		
1769313_at	YGL059W.S1	IPR003594	1769313_at			GO:0005739	EAA66798	S0003027		
1777718_at	YGL058W.S1	IPR000608	1777718_at			GO:0005737	EAA56105	S0003026		
1770746_at	YGL057C.S1		1770746_at			GO:0005739	NP_011458	S0003025		
1779272_at	YGL056C.S1	IPR000644	1779272_at			GO:0005737	BAB86329.1	S0003024		
1771509_at	YGL055W.S1	IPR001199	1771509_at			GO:0006636	AAA34826	S0003023		
1774264_at	YGL054C.S1	IPR003377	1774264_at			GO:0006888	NP_011461	S0003022		
1775255_at	YGL053W.S1	IPR001142	1775255_at			GO:0005886	CAE52437	S0003021		
1779202_at	YGL051W.S1	IPR001142	1779202_at			GO:0016021	CAE52435	S0003019		
1773620_at	YGL050W.S1	IPR003827	1773620_at				EAK94124	S0003018		
1774667_at	YGL049C.S1	IPR003890	1774667_at			GO:0016281	NP_011466	S0003017		
1770099_at	YGL048C.S1	IPR003959	1770099_at			GO:0008540	NP_595870	S0003016		
1771619_at	YGL047W.S1	IPR007235	1771619_at			GO:0006488	EAK99981	S0003015		
1777414_at	YGL045W.S1	IPR000698	1777414_at			GO:0016485	EAL00045	S0003013		
1775154_at	YGL044C.S1	IPR000504	1775154_at			GO:0006379	EAK93700	S0003012		
1775958_at	YGL043W.S1	IPR001222	1775958_at			GO:0008159	EAK93699	S0003011		
1771853_at	YGL041C-B.S1		1771853_at				NP_878074	S0028548		
1773170_at	YGL040C.S1	IPR001731	1773170_at			GO:0005737	NP_986680	S0003008		
1777693_at	YGL039W.S1		1777693_at			GO:0005737	NP_014490	S0003007		
1770551_at	YGL038C.S1	IPR007577	1770551_at			GO:0000137	NP_986012	S0003006		
1776948_at	YGL037C.S1	IPR000868	1776948_at			GO:0005777	NP_986013	S0003005		
1769798_at	YGL036W.S1		1769798_at			GO:0005737	NP_986014	S0003004		
1778177_at	YGL035C.S1	IPR007087	1778177_at			GO:0005634	P52288	S0003003		
1775231_at	YGL033W.S1		1775231_at			GO:0000794	NP_986021	S0003001		
1776992_at	YGL032C.S1		1776992_at			GO:0009277	CAD56288	S0003000		
1770413_at	YGL031C.S1	IPR000988	1770413_at			GO:0003735	EAK98220	S0002999		
1780199_at	YGL030W.S1	IPR004038	1780199_at			GO:0005737	EAK86283	S0002998		
1774719_at	YGL029W.S1	IPR005579	1774719_at			GO:0005730	EAK94820	S0002997		
1776626_at	YGL028C.S1		1776626_at			GO:0009277	AAL09829	S0002996		
1775263_at	YGL027C.S1	IPR004888	1775263_at			GO:0004573	AAR23808	S0002995		
1779478_at	YGL026C.S1	IPR001926	1779478_at			GO:0005737	NP_011489	S0002994		
1779094_at	YGL025C.S1		1779094_at			GO:0000119	P40356	S0002993		
1772690_at	YGL023C.S1	IPR000306	1772690_at			GO:0005770	EAL03782	S0002991		
1772876_at	YGL022W.S1	IPR003674	1772876_at			GO:0004579	BAA06079.1	S0002990		
1776407_at	YGL021W.S1		1776407_at			GO:0004674	NP_986039	S0002989	2.2.3	
1778934_at	YGL020C.S1	IPR007514	1778934_at			GO:0005783	EAL00667	S0002988		
1775056_at	YGL019W.S1	IPR000704	1775056_at			GO:0005956	O59906	S0002987		
1774554_at	YGL018C.S1	IPR001623	1774554_at	a.2.3.Chaperone J-domain		GO:0005739	EAL00670	S0002986		
1776337_at	YGL017W.S1	IPR007472	1776337_at			GO:0005737	EAL00676	S0002985		
1775283_at	YGL016W.S1		1775283_at			GO:0005737	NP_986832	S0002984		
1772214_at	YGL015C.S1		1772214_at				NP_011500	S0002983		
1779167_at	YGL014W.S1	IPR001313	1779167_at			GO:0006605	EAK98802	S0002982		
1770424_at	YGL013C.S1	IPR007219	1770424_at			GO:0005634	NP_011111	S0002981		
1771287_at	YGL012W.S1	IPR001171	1771287_at			GO:0006696	EAK98700	S0002980		
1778557_at	YGL011C.S1	IPR001353	1778557_at				NP_986577			
1778344_at	YGL010W.S1	IPR009305	1778344_at			GO:0005783	XP_381395	S0002978		
1777374_at	YGL009C.S1	IPR000573	1777374_at			GO:0009098	AAB19612	S0002977		
1774401_at	YGL008C.S1	IPR005834	1774401_at		(P13637) Sodium/potassium-transporting ATPase alpha-3 chain (EC 3.6.3.9) (Sodium pump 3) (Na+/K+ ATPase 3) (Alpha(III))	GO:0045121	1203382A	S0002976		
1773810_at	YGL007C-A.S1		1773810_at							
1774938_at	YGL006W-A.S1		1774938_at				NP_878076	S0028769		
1770017_at	YGL006W.S1	IPR006068	1770017_at		(P05023) Sodium/potassium-transporting ATPase alpha-1 chain precursor (EC 3.6.3.9) (Sodium pump 1) (Na+/K+ ATPase 1)	GO:0006816	NP_011509	S0002974		
1773539_at	YGL005C.S1		1773539_at			GO:0017119	NP_985538	S0002973		
1772977_at	YGL004C.S1	IPR001680	1772977_at	a.4.1.Tetracyclin repressor-like, N-terminal domain		GO:0005838	AAH68685	S0002972		
1775069_at	YGL003C.S1	IPR001680	1775069_at			GO:0005634	EAL00650	S0002971		
1777611_at	YGL002W.S1	IPR000348	1777611_at			GO:0005739	NP_985543	S0002970		
1770536_at	YGL001C.S1	IPR002225	1770536_at			GO:0005789	NP_985548	S0002969		
1772581_at	YGR001C.S1		1772581_at			GO:0005737	CAC38017	S0003233		
1774181_at	YGR002C.S1	IPR001005	1774181_at			GO:0043189	EAK99734	S0003234		
1775181_at	YGR003W.S1	IPR001373	1775181_at	a.4.5.SCF ubiquitin ligase complex WHB domain		GO:0005515	NP_011517	S0003235		
1778499_at	YGR004W.S1	IPR010482	1778499_at			GO:0007031	NP_986047	S0003236		
1773214_at	YGR005C.S1	IPR003196	1773214_at			GO:0005674	EAL00677	S0003237		
1775848_at	YGR006W.S1	IPR004098	1775848_at			GO:0008248	NP_986050	S0003238		
1779483_at	YGR007W.S1	IPR004820	1779483_at			GO:0006646	XP_320056	S0003239		
1773255_at	YGR008C.S1		1773255_at			GO:0015986	NP_986052	S0003240		
1776473_at	YGR009C.S1		1776473_at			GO:0016020	NP_986016	S0003241		
1769568_at	YGR010W.S1	IPR004820	1769568_at			GO:0005634	NP_986687	S0003242		
1774226_at	YGR012W.S1	IPR001926	1774226_at			GO:0005739	EAL00241	S0003244		
1776094_at	YGR013W.S1		1776094_at			GO:0005685	EAL03794	S0003245		
1778806_at	YGR014W.S1		1778806_at			GO:0005887	EAL03648	S0003246		
1772162_at	YGR015C.S1	IPR000073	1772162_at			GO:0005739	EAK96271	S0003247		
1775839_at	YGR016W.S1		1775839_at				NP_986683	S0003248		
1775801_at	YGR017W.S1		1775801_at			GO:0005634	EAK97906	S0003249		
1774010_at	YGR019W.S1	IPR005814	1774010_at			GO:0003867	NP_986616	S0003251		
1778896_at	YGR020C.S1	IPR008218	1778896_at			GO:0000221	EAL02110	S0003252		
1778061_at	YGR021W.S1	IPR002876	1778061_at			GO:0005739	ZP_00080944	S0003253		
1779035_at	YGR023W.S1	IPR007567	1779035_at			GO:0005887	NP_984558	S0003255		
1770562_at	YGR024C.S1	IPR007537	1770562_at			GO:0005737	EAL01510	S0003256		
1772142_at	YGR026W.S1		1772142_at				EAK94433	S0003258		
1770155_at	YGR027C.S1	IPR004977	1770155_at			GO:0005843	EAK87155	S0003259		
1772112_at	YGR028W.S1	IPR003959	1772112_at			GO:0005741	EAK96053	S0003260		
1778700_at	YGR029W.S1	IPR006863	1778700_at			GO:0005739	XP_331172	S0003261		
1774113_at	YGR030C.S1		1774113_at			GO:0005655	NP_011544	S0003262		
1771957_at	YGR031W.S1	IPR000073	1771957_at			GO:0005739	EAK94858	S0003263		
1773780_at	YGR032W.S1	IPR003440	1773780_at			GO:0000148	BAA07707.1	S0003264		
1772137_at	YGR033C.S1		1772137_at			GO:0005739	NP_983221	S0003265		
1773292_at	YGR034W.S1	IPR005824	1773292_at			GO:0005842	NP_011548	S0003266		
1778735_at	YGR035C.S1		1778735_at				NP_011549	S0003267		
1775588_at	YGR035W-A.S1		1775588_at				NP_878077	S0028827		
1771236_at	YGR036C.S1	IPR000326	1771236_at			GO:0030176	EAK94639	S0003268		
1774948_at	YGR037C.S1	IPR000582	1774948_at			GO:0005634	NP_596820	S0003269		
1776034_at	YGR038W.S1	IPR007203	1776034_at			GO:0006986	NP_013454	S0003270		
1775178_at	YGR040W.S1	IPR000719	1775178_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0001402	BAD06585.1	S0003272	3.1.7	
1773030_at	YGR041W.S1		1773030_at			GO:0000282	NP_013457	S0003273		
1778191_at	YGR042W.S1		1778191_at			GO:0005634	EAK96985	S0003274		
1774777_at	YGR043C.S1	IPR001585	1774777_at			GO:0005634	NP_013458	S0003275		
1780221_at	YGR044C.S1	IPR007087	1780221_at			GO:0005634	NP_011558	S0003276		
1773998_at	YGR045C.S1		1773998_at				NP_011559	S0003277		
1778638_at	YGR046W.S1		1778638_at			GO:0030150	EAA52217	S0003278		
1778351_at	YGR047C.S1	IPR001440	1778351_at			GO:0000127	NP_986211	S0003279		
1777633_at	YGR048W.S1	IPR004854	1777633_at			GO:0005783	EAK96280	S0003280		
1779571_at	YGR049W.S1		1779571_at			GO:0005739	NP_013460	S0003281		
1772958_at	YGR052W.S1	IPR000719	1772958_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005739	CAB95259	S0003284	1.4.1	
1771288_at	YGR053C.S1		1771288_at				NP_011567	S0003285		
1777215_at	YGR054W.S1		1777215_at			GO:0003743	EAL02349	S0003286		
1774026_at	YGR055W.S1	IPR004841	1774026_at			GO:0005887	EAK97353	S0003287		
1769421_at	YGR056W.S1	IPR001025	1769421_at			GO:0016586	NP_011570	S0003288		
1779582_at	YGR057C.S1		1779582_at			GO:0008565	NP_982940	S0003289		
1775951_at	YGR058W.S1	IPR002048	1775951_at			GO:0005737	XP_380620	S0003290		
1774240_at	YGR059W.S1	IPR000038	1774240_at			GO:0005628	NP_593566	S0003291		
1779836_at	YGR060W.S1	IPR006088	1779836_at			GO:0000254	O59933	S0003292		
1780004_at	YGR061C.S1	IPR010918	1780004_at			GO:0006164	AAA50357	S0003293		
1774529_at	YGR062C.S1		1774529_at			GO:0008535	NP_986122	S0003294		
1779555_at	YGR063C.S1	IPR009287	1779555_at			GO:0000784	P81205	S0003295		
1775820_at	YGR065C.S1		1775820_at			GO:0005886	NP_009333	S0003297		
1773662_at	YGR066C.S1		1773662_at				NP_983766	S0003298		
1777536_at	YGR067C.S1	IPR007087	1777536_at				NP_986127	S0003299		
1772589_at	YGR068C.S1		1772589_at	a.3.1.monodomain cytochrome c			EAL02461	S0003300		
1780215_at	YGR070W.S1	IPR001180	1780215_at			GO:0005622	NP_011584	S0003302		
1770127_at	YGR071C.S1	IPR003656	1770127_at			GO:0005634	NP_986134	S0003303		
1775676_at	YGR072W.S1	IPR005120	1775676_at			GO:0005844	NP_985061	S0003304		
1778691_at	YGR074W.S1	IPR001163	1778691_at			GO:0003729	NP_985062	S0003306		
1769760_at	YGR075C.S1	IPR005037	1769760_at			GO:0008248	NP_985063	S0003307		
1773815_at	YGR076C.S1		1773815_at			GO:0005762	NP_985064	S0003308		
1777564_at	YGR077C.S1		1777564_at			GO:0005782	NP_985065	S0003309		
1770624_at	YGR078C.S1	IPR004127	1770624_at			GO:0016272	EAK84473	S0003310		
1774239_at	YGR079W.S1		1774239_at				NP_011593	S0003311		
1769481_at	YGR080W.S1	IPR002108	1769481_at			GO:0030479	EAK95715	S0003312		
1770106_at	YGR081C.S1		1770106_at			GO:0005730	NP_984541	S0003313		
1773619_at	YGR082W.S1	IPR002056	1773619_at			GO:0030150	EAL02372	S0003314		
1769746_at	YGR083C.S1	IPR000649	1769746_at			GO:0006413	EAL00883	S0003315		
1771733_at	YGR084C.S1		1771733_at			GO:0006412	AAA34788	S0003316		
1770577_at	YGR085C.S1		1770577_at							
1778560_s_at	YGR085C.S1	IPR002132	1778560_s_at			GO:0003735	EAK95719	S0006306		
1773680_at	YGR086C.S1		1773680_at			GO:0005737	NP_984531	S0003318		
1771692_at	YGR087C.S1	IPR000399	1771692_at			GO:0005737	NP_011601	S0003319		
1769955_at	YGR088W.S1	IPR002226	1769955_at			GO:0005737	AAG53518	S0003320		
1771575_at	YGR089W.S1		1771575_at			GO:0005624	NP_984124	S0003321		
1772805_at	YGR090W.S1	IPR005554	1772805_at			GO:0005732	NP_011604	S0003322		
